Category (Parent),Category URL (Parent),Category - Leaf (Child 1),Category URL - Leaf (Child 1),Product URL,PartNumber,Product Title,Product Subtitle,Product Description,Image URLs,Price,List of Vehicle Compatibility,Brand,OE part number,EAN,DimensionsHeightMM,Others
Home   Automotive   Engine Cooling Products,https://webshop.nrf.eu/catalog/category/view/s/engine-cooling-products/id/42/,Water Pumps,https://webshop.nrf.eu/automotive/engine-cooling-products/cwat.html,https://webshop.nrf.eu/automotive/engine-cooling-products/cwat/9534.html,390001,VW/SKODA/AUDI/SEAT 04-,,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390001_1500x1000_wm_001.jpg,,,NRF,"[1K0965561, 1K0965561A, 7N0965561, 7N0965561A, 7N0965561B]",'8718042354723,,"{""Product Name"": ""VW/SKODA/AUDI/SEAT 04-"", ""EAN Code"": ""8718042354723"", ""Supplementary Article/Info 2"": ""with mounting parts"", ""Trim Level"": ""cooling water circuit"", ""Easy Fit"": ""with mounting parts"", ""Connector Shape"": ""oval"", ""Operating Mode"": ""Electric"", ""Voltage [V]"": ""12"", ""Number of pins"": ""2"", ""Cross Number"": ""20030 702671070 702671320 702671480 V10160034 DEP1061 370052 EA544A 358270"", ""OE numbers"": ""1K0965561 1K0965561A 7N0965561 7N0965561A 7N0965561B""}"
Home   Automotive   Engine Cooling Products,https://webshop.nrf.eu/catalog/category/view/s/engine-cooling-products/id/42/,Water Pumps,https://webshop.nrf.eu/automotive/engine-cooling-products/cwat.html,https://webshop.nrf.eu/automotive/engine-cooling-products/cwat/vw-1609-16891.html,390002,VW/AUDI 04-,,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390002_1500x1000_WM_001_1.jpg,,,NRF,"[1T0965561, 1T0965561A, 3C0965561]",'8718042354747,,"{""Product Name"": ""VW/AUDI 04-"", ""EAN Code"": ""8718042354747"", ""Supplementary Article/Info 2"": ""with mounting parts"", ""Trim Level"": ""cooling water circuit"", ""Easy Fit"": ""with mounting parts"", ""Connector Shape"": ""oval"", ""Operating Mode"": ""Electric"", ""Voltage [V]"": ""12"", ""Number of pins"": ""2"", ""Cross Number"": ""20061 702671100 702671330 702671490 V10160046 EA570A 360115"", ""OE numbers"": ""1T0965561 1T0965561A 3C0965561""}"
