partnumber,VehicleRawProperties_asli,VehicleRawProperties,make,Model,engine,Years,VehicleDataStandard,TypeId,ImportId,ImportTable,VehicleImportRegion,UvdbFromYearID,UvdbToYearID,Action,format_data,format_data
390026,MERCEDES E-Series 2.2D 09-,MERCEDES E-Series 2.2D ,,,,2009,,,,,,,,,"{""make"": ""MERCEDES"", ""model"": ""E-Series"", ""engine"": ""2.2D""}","{""make"": ""MERCEDES"", ""model"": ""E-Series"", ""engine"": ""2.2D""}"
390027,LAND-ROVER Range Rover 4.2 02-,LAND-ROVER Range Rover 4.2 ,,,,2002,,,,,,,,,"{""make"": ""LAND-ROVER"", ""model"": ""Range"", ""engine"": ""Rover""}","{""make"": ""LAND-ROVER"", ""model"": ""Range"", ""engine"": ""Rover""}"
390030,VOLVO XC60 2.0D 09-,VOLVO XC60 2.0D ,,,,2009,,,,,,,,,"{""make"": ""VOLVO"", ""model"": ""XC60"", ""engine"": ""2.0D""}","{""make"": ""VOLVO"", ""model"": ""XC60"", ""engine"": ""2.0D""}"
390031,VW/SEAT/AUDI/SKODA 04-,VW/SEAT/AUDI/SKODA ,,,,2004,,,,,,,,,"{""make"": ""VW/SEAT/AUDI/SKODA"", ""model"": """", ""engine"": """"}","{""make"": ""VW/SEAT/AUDI/SKODA"", ""model"": """", ""engine"": """"}"
390032,CITROEN/PEUGEOT 08-,CITROEN/PEUGEOT ,,,,2008,,,,,,,,,"{""make"": ""CITROEN/PEUGEOT"", ""model"": """", ""engine"": """"}","{""make"": ""CITROEN/PEUGEOT"", ""model"": """", ""engine"": """"}"
390033,VW/SKODA/SEAT 09-,VW/SKODA/SEAT ,,,,2009,,,,,,,,,"{""make"": ""VW/SKODA/SEAT"", ""model"": """", ""engine"": """"}","{""make"": ""VW/SKODA/SEAT"", ""model"": """", ""engine"": """"}"
390034,MERCEDES ACTROS MP4/MP5 11-,MERCEDES ACTROS MP4/MP5 ,,,,2011,,,,,,,,,"{""make"": ""MERCEDES"", ""model"": ""ACTROS"", ""engine"": ""MP4/MP5""}","{""make"": ""MERCEDES"", ""model"": ""ACTROS"", ""engine"": ""MP4/MP5""}"
390035,FORD 12-,FORD ,,,,2012,,,,,,,,,"{""make"": ""FORD"", ""model"": """", ""engine"": """"}","{""make"": ""FORD"", ""model"": """", ""engine"": """"}"
390036,TOYOTA PRIUS 04-,TOYOTA PRIUS ,,,,2004,,,,,,,,,"{""make"": ""TOYOTA"", ""model"": ""PRIUS"", ""engine"": """"}","{""make"": ""TOYOTA"", ""model"": ""PRIUS"", ""engine"": """"}"
390037,MERCEDES C (W203) 00-,MERCEDES C (W203) ,,,,2000,,,,,,,,,"{""make"": ""MERCEDES"", ""model"": ""C"", ""engine"": ""(W203)""}","{""make"": ""MERCEDES"", ""model"": ""C"", ""engine"": ""(W203)""}"
390038,MERCEDES C (W204) 07-,MERCEDES C (W204) ,,,,2007,,,,,,,,,"{""make"": ""MERCEDES"", ""model"": ""C"", ""engine"": ""(W204)""}","{""make"": ""MERCEDES"", ""model"": ""C"", ""engine"": ""(W204)""}"
390039,VW GOLF VII 12-,VW GOLF VII ,,,,2012,,,,,,,,,"{""make"": ""VW"", ""model"": ""GOLF"", ""engine"": ""VII""}","{""make"": ""VW"", ""model"": ""GOLF"", ""engine"": ""VII""}"
390040,BMW 3-series / i3 11-,BMW 3-series / i3 ,,,,2011,,,,,,,,,"{""make"": ""BMW"", ""model"": ""3-series"", ""engine"": ""/""}","{""make"": ""BMW"", ""model"": ""3-series"", ""engine"": ""/""}"
390041,VW AMAROK 10-,VW AMAROK ,,,,2010,,,,,,,,,"{""make"": ""VW"", ""model"": ""AMAROK"", ""engine"": """"}","{""make"": ""VW"", ""model"": ""AMAROK"", ""engine"": """"}"
390042,VW TOUAREG 03-,VW TOUAREG ,,,,2003,,,,,,,,,"{""make"": ""VW"", ""model"": ""TOUAREG"", ""engine"": """"}","{""make"": ""VW"", ""model"": ""TOUAREG"", ""engine"": """"}"
390043,AUDI A6 00-,AUDI A6 ,,,,2000,,,,,,,,,"{""make"": ""AUDI"", ""model"": ""A6"", ""engine"": """"}","{""make"": ""AUDI"", ""model"": ""A6"", ""engine"": """"}"
390044,VW/AUDI 12-,VW/AUDI ,,,,2012,,,,,,,,,"{""make"": ""VW/AUDI"", ""model"": """", ""engine"": """"}","{""make"": ""VW/AUDI"", ""model"": """", ""engine"": """"}"
390045,BMW 1-Series 11-,BMW 1-Series ,,,,2011,,,,,,,,,"{""make"": ""BMW"", ""model"": ""1-Series"", ""engine"": """"}","{""make"": ""BMW"", ""model"": ""1-Series"", ""engine"": """"}"
390046,BMW 5-Series 10-,BMW 5-Series ,,,,2010,,,,,,,,,"{""make"": ""BMW"", ""model"": ""5-Series"", ""engine"": """"}","{""make"": ""BMW"", ""model"": ""5-Series"", ""engine"": """"}"
390047,MERCEDES 94-,MERCEDES ,,,,1994,,,,,,,,,"{""make"": ""MERCEDES"", ""model"": """", ""engine"": """"}","{""make"": ""MERCEDES"", ""model"": """", ""engine"": """"}"
390048,FORD FOCUS 11-,FORD FOCUS ,,,,2011,,,,,,,,,"{""make"": ""FORD"", ""model"": ""FOCUS"", ""engine"": """"}","{""make"": ""FORD"", ""model"": ""FOCUS"", ""engine"": """"}"
390049,VW/AUDI/SKODA/SEAT 12-,VW/AUDI/SKODA/SEAT ,,,,2012,,,,,,,,,"{""make"": ""VW/AUDI/SKODA/SEAT"", ""model"": """", ""engine"": """"}","{""make"": ""VW/AUDI/SKODA/SEAT"", ""model"": """", ""engine"": """"}"
390050,AUDI/VW/SEAT/SKODA 08-,AUDI/VW/SEAT/SKODA ,,,,2008,,,,,,,,,"{""make"": ""AUDI/VW/SEAT/SKODA"", ""model"": """", ""engine"": """"}","{""make"": ""AUDI/VW/SEAT/SKODA"", ""model"": """", ""engine"": """"}"
390051,AUDI A4/Q5 07-,AUDI A4/Q5 ,,,,2007,,,,,,,,,"{""make"": ""AUDI"", ""model"": ""A4/Q5"", ""engine"": """"}","{""make"": ""AUDI"", ""model"": ""A4/Q5"", ""engine"": """"}"
390052,AUDI A4/A5 08-,AUDI A4/A5 ,,,,2008,,,,,,,,,"{""make"": ""AUDI"", ""model"": ""A4/A5"", ""engine"": """"}","{""make"": ""AUDI"", ""model"": ""A4/A5"", ""engine"": """"}"
390053,VW/SKODA 05-,VW/SKODA ,,,,2005,,,,,,,,,"{""make"": ""VW/SKODA"", ""model"": """", ""engine"": """"}","{""make"": ""VW/SKODA"", ""model"": """", ""engine"": """"}"
390054,AUDI A6 04-,AUDI A6 ,,,,2004,,,,,,,,,"{""make"": ""AUDI"", ""model"": ""A6"", ""engine"": """"}","{""make"": ""AUDI"", ""model"": ""A6"", ""engine"": """"}"
390055,VW PASSAT 01-,VW PASSAT ,,,,2001,,,,,,,,,"{""make"": ""VW"", ""model"": ""PASSAT"", ""engine"": """"}","{""make"": ""VW"", ""model"": ""PASSAT"", ""engine"": """"}"
390056,AUDI Q5/Q7 06-,AUDI Q5/Q7 ,,,,2006,,,,,,,,,"{""make"": ""AUDI"", ""model"": ""Q5/Q7"", ""engine"": """"}","{""make"": ""AUDI"", ""model"": ""Q5/Q7"", ""engine"": """"}"
390057,FORD 95-,FORD ,,,,1995,,,,,,,,,"{""make"": ""FORD"", ""model"": """", ""engine"": """"}","{""make"": ""FORD"", ""model"": """", ""engine"": """"}"
