partnumber,VehicleRawProperties_asli,VehicleRawProperties,make,Model,engine,Years,VehicleDataStandard,TypeId,ImportId,ImportTable,VehicleImportRegion,UvdbFromYearID,UvdbToYearID,Action,format_data,format_data
49126,DAF 95 XF,DAF 95 XF,,,,,,,,,,,,,"{""make"": ""D"", ""model"": ""A"", ""engine"": ""F""}","{""make"": ""D"", ""model"": ""A"", ""engine"": ""F""}"
49127,DAF 2100/2300/2500/2700,DAF 2100/2300/2500/2700,,,,,,,,,,,,,"{""make"": ""D"", ""model"": ""A"", ""engine"": ""F""}","{""make"": ""D"", ""model"": ""A"", ""engine"": ""F""}"
49128,DAF 2100/2300/2500/2700,DAF 2100/2300/2500/2700,,,,,,,,,,,,,"{""make"": ""D"", ""model"": ""A"", ""engine"": ""F""}","{""make"": ""D"", ""model"": ""A"", ""engine"": ""F""}"
49129,MAN L2000/M2000L,MAN L2000/M2000L,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""A"", ""engine"": ""N""}","{""make"": ""M"", ""model"": ""A"", ""engine"": ""N""}"
49130,MERCEDES Axor/Axor 2 01/2002>,MERCEDES Axor/Axor 2 01/2002>,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49132,MAN D20/D26 2012>,MAN D20/D26 2012>,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""A"", ""engine"": ""N""}","{""make"": ""M"", ""model"": ""A"", ""engine"": ""N""}"
49134,MAN D08 36 D Euro6 280HP W/AC  2014-,MAN D08 36 D Euro6 280HP W/AC  ,,,,2014,,,,,,,,,"{""make"": ""M"", ""model"": ""A"", ""engine"": ""N""}","{""make"": ""M"", ""model"": ""A"", ""engine"": ""N""}"
49136,MERCEDES DD13/15 06/2013>,MERCEDES DD13/15 06/2013>,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49137,MERCEDES Fuso 9TC 10/2013>,MERCEDES Fuso 9TC 10/2013>,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49138,MERCEDES Unimog 04/2014>,MERCEDES Unimog 04/2014>,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49139,SCANIA P/G/R DC13 01/2010>,SCANIA P/G/R DC13 01/2010>,,,,,,,,,,,,,"{""make"": ""S"", ""model"": ""C"", ""engine"": ""A""}","{""make"": ""S"", ""model"": ""C"", ""engine"": ""A""}"
49140,SCANIA P/G/R DC13 01/2010>,SCANIA P/G/R DC13 01/2010>,,,,,,,,,,,,,"{""make"": ""S"", ""model"": ""C"", ""engine"": ""A""}","{""make"": ""S"", ""model"": ""C"", ""engine"": ""A""}"
49141,SCANIA G/R 01/2012>,SCANIA G/R 01/2012>,,,,,,,,,,,,,"{""make"": ""S"", ""model"": ""C"", ""engine"": ""A""}","{""make"": ""S"", ""model"": ""C"", ""engine"": ""A""}"
49142,SCANIA P/Cab. V8 05/2015>,SCANIA P/Cab. V8 05/2015>,,,,,,,,,,,,,"{""make"": ""S"", ""model"": ""C"", ""engine"": ""A""}","{""make"": ""S"", ""model"": ""C"", ""engine"": ""A""}"
49145,DAF 3300/3200 06/1981>,DAF 3300/3200 06/1981>,,,,,,,,,,,,,"{""make"": ""D"", ""model"": ""A"", ""engine"": ""F""}","{""make"": ""D"", ""model"": ""A"", ""engine"": ""F""}"
49148,VOLVO FM9/FM12 08/1998>,VOLVO FM9/FM12 08/1998>,,,,,,,,,,,,,"{""make"": ""V"", ""model"": ""O"", ""engine"": ""L""}","{""make"": ""V"", ""model"": ""O"", ""engine"": ""L""}"
49150,MERCEDES MK/NG/LK/LN2 08/1973>,MERCEDES MK/NG/LK/LN2 08/1973>,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49152,DAF XF Euro 6 2012-,DAF XF Euro 6 ,,,,2012,,,,,,,,,"{""make"": ""D"", ""model"": ""A"", ""engine"": ""F""}","{""make"": ""D"", ""model"": ""A"", ""engine"": ""F""}"
49156,IVECO Eurocargo 01/1991>,IVECO Eurocargo 01/1991>,,,,,,,,,,,,,"{""make"": ""I"", ""model"": ""V"", ""engine"": ""E""}","{""make"": ""I"", ""model"": ""V"", ""engine"": ""E""}"
49157,MERCEDES Actros MP4 07/2011>,MERCEDES Actros MP4 07/2011>,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49159,MERCEDES Actros MP4 07/2011>,MERCEDES Actros MP4 07/2011>,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49160,MAN TGL/TGM Euro 6,MAN TGL/TGM Euro 6,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""A"", ""engine"": ""N""}","{""make"": ""M"", ""model"": ""A"", ""engine"": ""N""}"
49161,VOLVO FH12 08-93>,VOLVO FH12 93>,,,,2008,,,,,,,,,"{""make"": ""V"", ""model"": ""O"", ""engine"": ""L""}","{""make"": ""V"", ""model"": ""O"", ""engine"": ""L""}"
49163,SCANIA R DC16 XPI Euro 6,SCANIA R DC16 XPI Euro 6,,,,,,,,,,,,,"{""make"": ""S"", ""model"": ""C"", ""engine"": ""A""}","{""make"": ""S"", ""model"": ""C"", ""engine"": ""A""}"
49164,KAMAZ 4/5/6 serie,KAMAZ 4/5/6 serie,,,,,,,,,,,,,"{""make"": ""K"", ""model"": ""A"", ""engine"": ""M""}","{""make"": ""K"", ""model"": ""A"", ""engine"": ""M""}"
49166,MERCEDES Actros MP2/MP3,MERCEDES Actros MP2/MP3,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49167,VOLVO FM D13C,VOLVO FM D13C,,,,,,,,,,,,,"{""make"": ""V"", ""model"": ""O"", ""engine"": ""L""}","{""make"": ""V"", ""model"": ""O"", ""engine"": ""L""}"
49168,MAN TGX Euro 6,MAN TGX Euro 6,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""A"", ""engine"": ""N""}","{""make"": ""M"", ""model"": ""A"", ""engine"": ""N""}"
49400,CASE IH JX1060V,CASE IH JX1060V,,,,,,,,,,,,,"{""make"": ""C"", ""model"": ""A"", ""engine"": ""S""}","{""make"": ""C"", ""model"": ""A"", ""engine"": ""S""}"
49401,NEW HOLLAND 4635,NEW HOLLAND 4635,,,,,,,,,,,,,"{""make"": ""N"", ""model"": ""E"", ""engine"": ""W""}","{""make"": ""N"", ""model"": ""E"", ""engine"": ""W""}"
49402,NEW HOLLAND TL100A,NEW HOLLAND TL100A,,,,,,,,,,,,,"{""make"": ""N"", ""model"": ""E"", ""engine"": ""W""}","{""make"": ""N"", ""model"": ""E"", ""engine"": ""W""}"
49403,NEW HOLLAND TM140,NEW HOLLAND TM140,,,,,,,,,,,,,"{""make"": ""N"", ""model"": ""E"", ""engine"": ""W""}","{""make"": ""N"", ""model"": ""E"", ""engine"": ""W""}"
49404,NEW HOLLAND TM115,NEW HOLLAND TM115,,,,,,,,,,,,,"{""make"": ""N"", ""model"": ""E"", ""engine"": ""W""}","{""make"": ""N"", ""model"": ""E"", ""engine"": ""W""}"
49405,NEW HOLLAND TM150,NEW HOLLAND TM150,,,,,,,,,,,,,"{""make"": ""N"", ""model"": ""E"", ""engine"": ""W""}","{""make"": ""N"", ""model"": ""E"", ""engine"": ""W""}"
49406,CASE IH CVX1135,CASE IH CVX1135,,,,,,,,,,,,,"{""make"": ""C"", ""model"": ""A"", ""engine"": ""S""}","{""make"": ""C"", ""model"": ""A"", ""engine"": ""S""}"
49407,DEUTZ  Argotron all diesels 170HP,DEUTZ  Argotron all diesels 170HP,,,,,,,,,,,,,"{""make"": ""D"", ""model"": ""E"", ""engine"": ""U""}","{""make"": ""D"", ""model"": ""E"", ""engine"": ""U""}"
49408,MASSEY FERGUSON 5425,MASSEY FERGUSON 5425,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""A"", ""engine"": ""S""}","{""make"": ""M"", ""model"": ""A"", ""engine"": ""S""}"
49409,FENDT AGCO 8230/40 Valmet 634 7.4L,FENDT AGCO 8230/40 Valmet 634 7.4L,,,,,,,,,,,,,"{""make"": ""F"", ""model"": ""E"", ""engine"": ""N""}","{""make"": ""F"", ""model"": ""E"", ""engine"": ""N""}"
49410,MASSEY FERGUSON 6497,MASSEY FERGUSON 6497,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""A"", ""engine"": ""S""}","{""make"": ""M"", ""model"": ""A"", ""engine"": ""S""}"
49411,FENDT FARMER 308,FENDT FARMER 308,,,,,,,,,,,,,"{""make"": ""F"", ""model"": ""E"", ""engine"": ""N""}","{""make"": ""F"", ""model"": ""E"", ""engine"": ""N""}"
49412,FENDT FARMER 409,FENDT FARMER 409,,,,,,,,,,,,,"{""make"": ""F"", ""model"": ""E"", ""engine"": ""N""}","{""make"": ""F"", ""model"": ""E"", ""engine"": ""N""}"
49413,FENDT FAVORIT 512,FENDT FAVORIT 512,,,,,,,,,,,,,"{""make"": ""F"", ""model"": ""E"", ""engine"": ""N""}","{""make"": ""F"", ""model"": ""E"", ""engine"": ""N""}"
49414,FENDT FAVORIT 824,FENDT FAVORIT 824,,,,,,,,,,,,,"{""make"": ""F"", ""model"": ""E"", ""engine"": ""N""}","{""make"": ""F"", ""model"": ""E"", ""engine"": ""N""}"
49415,JOHN DEERE 6520 6620,JOHN DEERE 6520 6620,,,,,,,,,,,,,"{""make"": ""J"", ""model"": ""O"", ""engine"": ""H""}","{""make"": ""J"", ""model"": ""O"", ""engine"": ""H""}"
49416,JOHN DEERE Series 6030  07-,JOHN DEERE Series 6030  ,,,,2007,,,,,,,,,"{""make"": ""J"", ""model"": ""O"", ""engine"": ""H""}","{""make"": ""J"", ""model"": ""O"", ""engine"": ""H""}"
49417,JOHN DEERE 3050,JOHN DEERE 3050,,,,,,,,,,,,,"{""make"": ""J"", ""model"": ""O"", ""engine"": ""H""}","{""make"": ""J"", ""model"": ""O"", ""engine"": ""H""}"
49418,JOHN DEERE Series 6000,JOHN DEERE Series 6000,,,,,,,,,,,,,"{""make"": ""J"", ""model"": ""O"", ""engine"": ""H""}","{""make"": ""J"", ""model"": ""O"", ""engine"": ""H""}"
49419,CLAAS Ares 540,CLAAS Ares 540,,,,,,,,,,,,,"{""make"": ""C"", ""model"": ""L"", ""engine"": ""A""}","{""make"": ""C"", ""model"": ""L"", ""engine"": ""A""}"
49420,CLAAS Ares 616 C,CLAAS Ares 616 C,,,,,,,,,,,,,"{""make"": ""C"", ""model"": ""L"", ""engine"": ""A""}","{""make"": ""C"", ""model"": ""L"", ""engine"": ""A""}"
49421,CLAAS Ares 577,CLAAS Ares 577,,,,,,,,,,,,,"{""make"": ""C"", ""model"": ""L"", ""engine"": ""A""}","{""make"": ""C"", ""model"": ""L"", ""engine"": ""A""}"
49422,DEUTZ BF 1013 DIESEL (4&6 CYL),DEUTZ BF 1013 DIESEL (4&6 CYL),,,,,,,,,,,,,"{""make"": ""D"", ""model"": ""E"", ""engine"": ""U""}","{""make"": ""D"", ""model"": ""E"", ""engine"": ""U""}"
49423,"GENESIS TIER 2 D 7,5L 215HP","GENESIS TIER 2 D 7,5L 215HP",,,,,,,,,,,,,"{""make"": ""G"", ""model"": ""E"", ""engine"": ""N""}","{""make"": ""G"", ""model"": ""E"", ""engine"": ""N""}"
49424,"FENDT 922, 924, 927, 930, 933, 936,","FENDT 922, 924, 927, 930, 933, 936,",,,,,,,,,,,,,"{""make"": ""F"", ""model"": ""E"", ""engine"": ""N""}","{""make"": ""F"", ""model"": ""E"", ""engine"": ""N""}"
49425,"MASSEY FERGUSON 5425, 6160, 6445","MASSEY FERGUSON 5425, 6160, 6445",,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""A"", ""engine"": ""S""}","{""make"": ""M"", ""model"": ""A"", ""engine"": ""S""}"
49426,"JCB 2CX, 3CX, 4CX","JCB 2CX, 3CX, 4CX",,,,,,,,,,,,,"{""make"": ""J"", ""model"": ""C"", ""engine"": ""B""}","{""make"": ""J"", ""model"": ""C"", ""engine"": ""B""}"
49427,"JCB 2CX, 3CX, 4CX","JCB 2CX, 3CX, 4CX",,,,,,,,,,,,,"{""make"": ""J"", ""model"": ""C"", ""engine"": ""B""}","{""make"": ""J"", ""model"": ""C"", ""engine"": ""B""}"
49428,JOHN DEERE 6010 SE Serie,JOHN DEERE 6010 SE Serie,,,,,,,,,,,,,"{""make"": ""J"", ""model"": ""O"", ""engine"": ""H""}","{""make"": ""J"", ""model"": ""O"", ""engine"": ""H""}"
49430,FENDT AGCO 8150/8160,FENDT AGCO 8150/8160,,,,,,,,,,,,,"{""make"": ""F"", ""model"": ""E"", ""engine"": ""N""}","{""make"": ""F"", ""model"": ""E"", ""engine"": ""N""}"
49431,CAT D5N DOZER ALL ENG DIESEL I6,CAT D5N DOZER ALL ENG DIESEL I6,,,,,,,,,,,,,"{""make"": ""C"", ""model"": ""A"", ""engine"": ""T""}","{""make"": ""C"", ""model"": ""A"", ""engine"": ""T""}"
49432,CAT D6N DOZER ALL ENG DIESEL I6,CAT D6N DOZER ALL ENG DIESEL I6,,,,,,,,,,,,,"{""make"": ""C"", ""model"": ""A"", ""engine"": ""T""}","{""make"": ""C"", ""model"": ""A"", ""engine"": ""T""}"
49433,CAT 325D C7 DIESEL 7200CC I6 140 HP,CAT 325D C7 DIESEL 7200CC I6 140 HP,,,,,,,,,,,,,"{""make"": ""C"", ""model"": ""A"", ""engine"": ""T""}","{""make"": ""C"", ""model"": ""A"", ""engine"": ""T""}"
49434,CAT 325D C7 DIESEL 7200CC I6 140HP,CAT 325D C7 DIESEL 7200CC I6 140HP,,,,,,,,,,,,,"{""make"": ""C"", ""model"": ""A"", ""engine"": ""T""}","{""make"": ""C"", ""model"": ""A"", ""engine"": ""T""}"
49435,CAT 325D C7 DIESEL 7200CC I6 140HP,CAT 325D C7 DIESEL 7200CC I6 140HP,,,,,,,,,,,,,"{""make"": ""C"", ""model"": ""A"", ""engine"": ""T""}","{""make"": ""C"", ""model"": ""A"", ""engine"": ""T""}"
49436,CATERPILLAR 320D HYDRALIC EXCAVATOR,CATERPILLAR 320D HYDRALIC EXCAVATOR,,,,,,,,,,,,,"{""make"": ""C"", ""model"": ""A"", ""engine"": ""T""}","{""make"": ""C"", ""model"": ""A"", ""engine"": ""T""}"
49500,DAF 400 2.5D 89-,DAF 400 2.5D ,,,,1989,,,,,,,,,"{""make"": ""D"", ""model"": ""A"", ""engine"": ""F""}","{""make"": ""D"", ""model"": ""A"", ""engine"": ""F""}"
49501,DAF 400 2.5D 89-,DAF 400 2.5D ,,,,1989,,,,,,,,,"{""make"": ""D"", ""model"": ""A"", ""engine"": ""F""}","{""make"": ""D"", ""model"": ""A"", ""engine"": ""F""}"
49516,FORD Scorpio 2.0 85-,FORD Scorpio 2.0 ,,,,1985,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
49517,FORD Transit 2.5D 86-,FORD Transit 2.5D ,,,,1986,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
49518,FORD Transit 2.5D 95-,FORD Transit 2.5D ,,,,1995,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
49519,FORD Transit 2.5D 95-,FORD Transit 2.5D ,,,,1995,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
49520,FORD Transit 2.5D 86-,FORD Transit 2.5D ,,,,1986,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
49521,FORD Transit 2.4D 00-,FORD Transit 2.4D ,,,,2000,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
49523,FORD Transit,FORD Transit,,,,,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
49524,HYUNDAI H1 2.4 98-,HYUNDAI H1 2.4 ,,,,1998,,,,,,,,,"{""make"": ""H"", ""model"": ""Y"", ""engine"": ""U""}","{""make"": ""H"", ""model"": ""Y"", ""engine"": ""U""}"
49525,HYUNDAI H1 2.5D 98-,HYUNDAI H1 2.5D ,,,,1998,,,,,,,,,"{""make"": ""H"", ""model"": ""Y"", ""engine"": ""U""}","{""make"": ""H"", ""model"": ""Y"", ""engine"": ""U""}"
49526,HYUNDAI H200 2.5D 98-,HYUNDAI H200 2.5D ,,,,1998,,,,,,,,,"{""make"": ""H"", ""model"": ""Y"", ""engine"": ""U""}","{""make"": ""H"", ""model"": ""Y"", ""engine"": ""U""}"
49527,HYUNDAI Galloper 2.5D 98-,HYUNDAI Galloper 2.5D ,,,,1998,,,,,,,,,"{""make"": ""H"", ""model"": ""Y"", ""engine"": ""U""}","{""make"": ""H"", ""model"": ""Y"", ""engine"": ""U""}"
49528,KIA Pregio 2.7D 96-,KIA Pregio 2.7D ,,,,1996,,,,,,,,,"{""make"": ""K"", ""model"": ""I"", ""engine"": ""A""}","{""make"": ""K"", ""model"": ""I"", ""engine"": ""A""}"
49529,MERCEDES Sprinter,MERCEDES Sprinter,,,,,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49530,MERCEDES Sprinter 2.3D 95-,MERCEDES Sprinter 2.3D ,,,,1995,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49531,MERCEDES G-Series 3.0D 79-,MERCEDES G-Series 3.0D ,,,,1979,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49532,MERCEDES T2 2.9D 77-,MERCEDES T2 2.9D ,,,,1977,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49533,MERCEDES T2 2.9D 77-,MERCEDES T2 2.9D ,,,,1977,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49534,MERCEDES MB-Series 2.4D 88-,MERCEDES MB-Series 2.4D ,,,,1988,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49535,MERCEDES Vito 2.2D 96-,MERCEDES Vito 2.2D ,,,,1996,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49536,MERCEDES Sprinter 2.9D 95-,MERCEDES Sprinter 2.9D ,,,,1995,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49537,MERCEDES Sprinter 2.9D 95-,MERCEDES Sprinter 2.9D ,,,,1995,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49538,MERCEDES Sprinter 2.2D 95-,MERCEDES Sprinter 2.2D ,,,,1995,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49539,MERCEDES Sprinter 2.2D 07-,MERCEDES Sprinter 2.2D ,,,,2007,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49540,MERCEDES Sprinter 2.9D 95-,MERCEDES Sprinter 2.9D ,,,,1995,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49541,MERCEDES Sprinter 2.9D 95-,MERCEDES Sprinter 2.9D ,,,,1995,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49542,MERCEDES Sprinter 3.5 07-,MERCEDES Sprinter 3.5 ,,,,2007,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49543,MERCEDES Sprinter 2.2D 95-,MERCEDES Sprinter 2.2D ,,,,1995,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49544,MERCEDES T2 4.0D 86-,MERCEDES T2 4.0D ,,,,1986,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49546,MITSUBISHI L200 2.5D 06-,MITSUBISHI L200 2.5D ,,,,2006,,,,,,,,,"{""make"": ""M"", ""model"": ""I"", ""engine"": ""T""}","{""make"": ""M"", ""model"": ""I"", ""engine"": ""T""}"
49547,MITSUBISHI Pajero 2.5D 97-,MITSUBISHI Pajero 2.5D ,,,,1997,,,,,,,,,"{""make"": ""M"", ""model"": ""I"", ""engine"": ""T""}","{""make"": ""M"", ""model"": ""I"", ""engine"": ""T""}"
49549,MITSUBISHI L300 2.5D 87-,MITSUBISHI L300 2.5D ,,,,1987,,,,,,,,,"{""make"": ""M"", ""model"": ""I"", ""engine"": ""T""}","{""make"": ""M"", ""model"": ""I"", ""engine"": ""T""}"
49550,MITSUBISHI Pajero 2.5D 83-,MITSUBISHI Pajero 2.5D ,,,,1983,,,,,,,,,"{""make"": ""M"", ""model"": ""I"", ""engine"": ""T""}","{""make"": ""M"", ""model"": ""I"", ""engine"": ""T""}"
49551,NISSAN Cabstar 3.0D 99-,NISSAN Cabstar 3.0D ,,,,1999,,,,,,,,,"{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}","{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}"
49552,NISSAN Cabstar 3.0D 99-,NISSAN Cabstar 3.0D ,,,,1999,,,,,,,,,"{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}","{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}"
49555,NISSAN Vanette 2.0D 79-,NISSAN Vanette 2.0D ,,,,1979,,,,,,,,,"{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}","{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}"
49556,NISSAN Vanette 2.0D 86-,NISSAN Vanette 2.0D ,,,,1986,,,,,,,,,"{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}","{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}"
49557,NISSAN Vanette 2.3D 95-,NISSAN Vanette 2.3D ,,,,1995,,,,,,,,,"{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}","{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}"
49558,SUZUKI Jimny 1.3 98-,SUZUKI Jimny 1.3 ,,,,1998,,,,,,,,,"{""make"": ""S"", ""model"": ""U"", ""engine"": ""Z""}","{""make"": ""S"", ""model"": ""U"", ""engine"": ""Z""}"
49559,TOYOTA Hilux 2.4D 89-,TOYOTA Hilux 2.4D ,,,,1989,,,,,,,,,"{""make"": ""T"", ""model"": ""O"", ""engine"": ""Y""}","{""make"": ""T"", ""model"": ""O"", ""engine"": ""Y""}"
49561,VW LT 2.4D 75-,VW LT 2.4D ,,,,1975,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
49562,VW LT 2.3 96-,VW LT 2.3 ,,,,1996,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
49563,VW LT 2.5D 96-,VW LT 2.5D ,,,,1996,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
49564,VW LT 2.8D 96-,VW LT 2.8D ,,,,1996,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
49565,VW LT 2.4D 75-,VW LT 2.4D ,,,,1975,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
49566,VW Passat 1.9D 01-,VW Passat 1.9D ,,,,2001,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
49567,BMW 3 1.6 91-,BMW 3 1.6 ,,,,1991,,,,,,,,,"{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}","{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}"
49568,BMW 5 2.0 96-,BMW 5 2.0 ,,,,1996,,,,,,,,,"{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}","{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}"
49571,NISSAN Pick Up 2.4 86-,NISSAN Pick Up 2.4 ,,,,1986,,,,,,,,,"{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}","{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}"
49572,TOYOTA Land Cruiser 4.2D 84-,TOYOTA Land Cruiser 4.2D ,,,,1984,,,,,,,,,"{""make"": ""T"", ""model"": ""O"", ""engine"": ""Y""}","{""make"": ""T"", ""model"": ""O"", ""engine"": ""Y""}"
49573,NISSAN Pick Up 2.5D 97-,NISSAN Pick Up 2.5D ,,,,1997,,,,,,,,,"{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}","{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}"
49575,MERCEDES E-Series 3.2 85-,MERCEDES E-Series 3.2 ,,,,1985,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
49576,NISSAN Patrol 2.8D 88-,NISSAN Patrol 2.8D ,,,,1988,,,,,,,,,"{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}","{""make"": ""N"", ""model"": ""I"", ""engine"": ""S""}"
49577,CHRYSLER PT Cruiser 2.4 00-,CHRYSLER PT Cruiser 2.4 ,,,,2000,,,,,,,,,"{""make"": ""C"", ""model"": ""H"", ""engine"": ""R""}","{""make"": ""C"", ""model"": ""H"", ""engine"": ""R""}"
49578,SUZUKI Grand Vitara 1.6 98-,SUZUKI Grand Vitara 1.6 ,,,,1998,,,,,,,,,"{""make"": ""S"", ""model"": ""U"", ""engine"": ""Z""}","{""make"": ""S"", ""model"": ""U"", ""engine"": ""Z""}"
