partnumber,name,description,images,retailprice,parttype,Brand,sku,Barcode,EAN,WeightGrams,DimensionsLengthMM,DimensionsWidthMM,DimensionsHeightMM,Gtin14
390032,CITROEN/PEUGEOT 08-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390032_1500x1000_WM_001_2.jpg,,,NRF,390032,,'8718042344922,,,,,
390033,VW/SKODA/SEAT 09-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390033_1500x1000_WM_001_1.jpg,,,NRF,390033,,'8718042347046,,,,,
390034,MERCEDES ACTROS MP4/MP5 11-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390034_1500x1000_WM_001_1.jpg,,,NRF,390034,,'8718042354761,,,,,
390035,FORD 12-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390035_1500x1000_WM_001_1.jpg,,,NRF,390035,,'8718042354785,,,,,
390036,TOYOTA PRIUS 04-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390036_1500x1000_WM_001_2.jpg,,,NRF,390036,,'8718042354808,,,,,
390037,MERCEDES C (W203) 00-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390037_1500x1000_WM_001_1.jpg,,,NRF,390037,,'8718042357281,,,,,
390038,MERCEDES C (W204) 07-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390038_1500x1000_WM_001_2.jpg,,,NRF,390038,,'8718042359643,,,,,
390039,VW GOLF VII 12-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390039_1500x1000_WM_001_2.jpg,,,NRF,390039,,'8718042359667,,,,,
390040,BMW 3-series / i3 11-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390040_1500x1000_WM_001_2.jpg,,,NRF,390040,,'8718042359681,,,,,
390041,VW AMAROK 10-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390041_1500x1000_WM_001_1.jpg,,,NRF,390041,,'8718042359964,,,,,
390042,VW TOUAREG 03-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390042_1500x1000_WM_001_1.jpg,,,NRF,390042,,'8718042359988,,,,,
390043,AUDI A6 00-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390043_1500x1000_wm_001.jpg,,,NRF,390043,,'8718042360007,,,,,
390044,VW/AUDI 12-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390044_1500x1000_WM_001_1.jpg,,,NRF,390044,,'8718042360021,,,,,
390045,BMW 1-Series 11-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390045_1500x1000_WM_001_1.jpg,,,NRF,390045,,'8718042360045,,,,,
390046,BMW 5-Series 10-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390046_1500x1000_WM_001_1.jpg,,,NRF,390046,,'8718042360069,,,,,
390047,MERCEDES 94-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390047_1500x1000_WM_001_1.jpg,,,NRF,390047,,'8718042360083,,,,,
390048,FORD FOCUS 11-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390048_1500x1000_WM_001_1.jpg,,,NRF,390048,,'8718042360106,,,,,
390049,VW/AUDI/SKODA/SEAT 12-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390049_1500x1000_WM_001_1.jpg,,,NRF,390049,,'8718042360120,,,,,
390050,AUDI/VW/SEAT/SKODA 08-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390050_1500x1000_wm_001.jpg,,,NRF,390050,,'8718042360649,,,,,
390051,AUDI A4/Q5 07-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390051_1500x1000_wm_001.jpg,,,NRF,390051,,'8718042360663,,,,,
390052,AUDI A4/A5 08-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390052_1500x1000_wm_001.jpg,,,NRF,390052,,'8718042360687,,,,,
390053,VW/SKODA 05-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390053_1500x1000_wm_001.jpg,,,NRF,390053,,'8718042361127,,,,,
390054,AUDI A6 04-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390054_1500x1000_wm_001.jpg,,,NRF,390054,,'8718042361141,,,,,
390055,VW PASSAT 01-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390055,,'8718042366689,,,,,
390056,AUDI Q5/Q7 06-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390056,,'8718042369406,,,,,
390057,FORD 95-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390057_1500x1000_wm_001.jpg,,,NRF,390057,,'8718042369420,,,,,
390058,BMW 5-Series 10-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390058,,'8718042369444,,,,,
390059,MERCEDES A-CLASS 12-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390059,,'8718042369543,,,,,
390060,MERCEDES C-Series 00-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390060,,'8718042369567,,,,,
390061,AUDI Q5 09-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390061,,'8718042369963,,,,,
390062,VW GOLF VII 12-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390062,,'8718042370846,,,,,
390063,VW/AUDI 12-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390063,,'8718042394163,,,,,
390064,CITROEN C3 17-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390064,,'8718042394187,,,,,
390065,FORD FIESTA 17-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390065,,'8718042394200,,,,,
390066,LAND ROVER Discovery Sport 15-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390066,,'8718042394224,,,,,
390067,TOYOTA CH-R 17-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390067,,'8718042394248,,,,,
390068,TESLA S 13-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390068,,'8718042394262,,,,,
390069,BMW  11-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390069,,'8718042394286,,,,,
390070,TOYOTA C-HR 17-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390070,,'8718042394309,,,,,
390072,TOYOTA YARIS 11-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390072,,'8718042397027,,,,,
390073,TESLA 3 17-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,390073,,'8718042397041,,,,,
47000,FORD Mondeo 1.8D 97-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/4/7/47000_1500x1000_WM_001_1.jpg,,,NRF,47000,,'8718042028990,,,,,
470001,Hyundai i10 1.1 2008-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470001,,'8718042358844,,,,,
470002,Hyundai ix35 2.0/2.4 10-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470002,,'8718042358868,,,,,
470003,"BMW 118 1,5 2011-",,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470003,,'8718042358882,,,,,
470004,KIA CEED 1.4/1.6 2008-2012,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470004,,'8718042358905,,,,,
470005,BMW X3 2.0D 2011-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470005,,'8718042358929,,,,,
470006,Hyundai Getz 1.1/1.3 2002-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470006,,'8718042358943,,,,,
470007,Mazda 6 13-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470007,,'8718042366047,,,,,
470008,FORD Focus 1.0/1.5 18-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470008,,'8718042366061,,,,,
470009,OPEL Astra 1.4 15-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470009,,'8718042366085,,,,,
470010,VW POLO/SEAT LEON 1.0-1.6 2012-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470010,,'8718042366108,,,,,
470011,VW Golf 1.6D 13-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470011,,'8718042366726,,,,,
470012,DACIA LOGAN\RENAULT CLIO 0.9-1.6 2012,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470012,,'8718042366740,,,,,
470013,RENAULT Master 2.3D 10-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470013,,'8718042366764,,,,,
470014,Alfa Romeo Gulietta 1.6/2.0D 2012-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470014,,'8718042366788,,,,,
470015,AUDI Q5 3.0D 09-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470015,,'8718042366962,,,,,
